"Placeholder","Placeholder"
"Mail preview placeholders","Mail preview placeholders"
"Mail Preview","Mail Preview"
"Admin Settings","Admin Settings"
"Show header in preview","Show header in preview"
"Will display a header in the mail preview with placeholder information","Will display a header in the mail preview with placeholder information"
"Auto add placeholders","Auto add placeholders"
"Will save the found placeholders in the placeholder table","Will save the found placeholders in the placeholder table"
"Item does not exist","Placeholder does not exist"
"Item was successfully deleted",Placeholder successfully deleted"
"Add","Add Placeholder"
"Add Item","Add Placeholder"
"Element","Placeholder"
"Variable","Variable"
"Replacement","Replacement"
